Sr. No.,PHC,Sub Centers,Village
1,Wadigodri,Taka,Taka
2,Wadigodri,Taka,Ramgavhan
3,Wadigodri,Taka,Saundalgaon
4,Wadigodri,Taka,Dodadgaon
5,Wadigodri,Dongaon,Dongaon
6,Wadigodri,Dongaon,Domegaon
7,Wadigodri,Dongaon,Kolishirasgaon
8,Wadigodri,Shahapur,Shahapur
9,Wadigodri,Shahapur,Dhakalgaon
10,Wadigodri,Shahapur,Dhakalgaon
11,Wadigodri,Shahapur,Baraswada
12,Wadigodri,Shahapur,Dadegaon
13,Wadigodri,Nalewadi,Nalewadi
14,Wadigodri,Nalewadi,Antarwali sarathi
15,Wadigodri,Nalewadi,Krushnanagar
16,Wadigodri,Bhamberi,Bhamberi
17,Wadigodri,Bhamberi,Dahayala
18,Wadigodri,Bhamberi,Renapuri
19,Wadigodri,Bhamberi,Chandanapuri Kh.
20,Wadigodri,Wadigodri,Wadigodri
21,Wadigodri,Wadigodri,Ekanathnagar
22,Anna Magar Hospital,Shine vasti I,Shine vasti I
23,Anna Magar Hospital,Shine vasti II,Shine vasti II
24,Anna Magar Hospital,Birajdar vasti,Birajdar vasti
25,Anna Magar Hospital,Samarth Nagar/Indira Nagar,Samarth Nagar/Indira Nagar
26,Anna Magar Hospital,Gosavi vasti I,Gosavi vasti I
27,Anna Magar Hospital,Gosavi vasti II,Gosavi vasti II
28,Anna Magar Hospital,Gosavi vasti III,Gosavi vasti III
29,Anna Magar Hospital,Vaiduwadi I,Vaiduwadi I
30,Anna Magar Hospital,Vaiduwadi II,Vaiduwadi II
31,Anna Magar Hospital,Vaiduwadi III,Vaiduwadi III
32,Anna Magar Hospital,Shankarmath I,Shankarmath I
33,Anna Magar Hospital,Shankarmath II,Shankarmath II
